N,P,K,temperature,humidity,ph,rainfall,label
102,97,19,35.08377584702199,63.8792635777333,4.436111842654619,63.67846569413674,chickpea
74,92,121,30.241255434498726,73.7265320016441,3.6235069657748147,291.5747586053584,mothbeans
37,134,196,44.71182769377505,65.57333586649449,7.169918962929685,21.978565461520873,orange
88,53,63,22.794855953464452,14.19990968922539,9.342533113048756,85.17597532048518,mothbeans
50,112,59,44.37954277485116,52.00866039231819,8.659642440417922,210.48611080457832,grapes
72,22,136,42.86146496033955,60.695939606098534,5.812499015239497,24.470550621659974,pigeonpeas
129,88,96,24.285642268365248,20.983441136030095,6.471061460667621,29.62878591226115,coconut
80,54,108,35.94837218175314,48.26402870421202,4.747649977209133,178.95609178959762,watermelon
43,18,99,42.10934669585532,17.964325184672756,4.675897174514871,32.66364089495066,grapes
39,86,115,38.663287838621386,42.10779940242303,5.185607058124285,171.95490328430958,papaya
40,19,49,10.75837381615152,98.81982429404655,8.133468615779945,75.64039082956828,chickpea
62,143,85,34.31965225170005,81.1157986478085,7.135759848686068,279.3642459837377,muskmelon
40,32,139,39.451427378222576,50.45056067243831,4.072460698942468,123.82911061551458,jute
61,41,103,29.878018145185905,34.72496136910577,6.867460555086207,127.21952493106116,cotton
130,5,9,28.76725631007136,79.38704619591049,6.4627735781863445,166.36519222695833,mothbeans
14,94,46,24.255450569033496,28.15472821018566,8.874581574041116,153.1036624909913,jute
95,136,155,30.36344303327924,58.58569821715058,4.718367348408616,283.9989997562347,grapes
70,90,32,42.3988131366752,82.73083416079753,7.300422539062541,264.008965252561,jute
27,112,48,23.410868071203552,89.49522330269815,5.4460701260316435,54.18462731618854,pomegranate
128,125,31,23.802988179171486,83.62132893302439,8.664383499538062,21.946596548733396,watermelon
136,66,169,33.620133216940005,34.24711004186693,4.964753133486645,67.12149180842056,rice
95,117,66,43.955937060675545,96.62025654479001,5.010693774952185,159.22958164986792,coffee
112,105,117,44.91639794681085,34.01029128477565,9.359689734995918,135.09036372910475,apple
86,133,151,33.186101707526376,57.78411249854228,6.18669898743855,174.81006493997182,watermelon
67,127,149,34.94400489863881,43.10048194473279,7.293834983561477,197.3883190130505,cotton
138,101,128,26.80335473940659,72.62315261117936,8.65015282888232,111.26849345652774,pomegranate
89,100,203,14.451557873184683,72.18439642922193,5.8204120778032244,282.2843968462857,kidneybeans
128,15,189,12.198520285901797,93.22242564507064,8.764036120285887,92.22365576024357,watermelon
89,116,64,17.650679468725134,99.66283297821319,9.292516107732762,176.3221670099873,muskmelon
8,103,151,34.860360118198855,90.73992339573194,8.822518545590704,238.36515284013467,kidneybeans
115,79,117,13.98026242150071,90.86987696743714,7.138574357957539,22.575174452656302,lentil
98,97,150,13.94989790244745,59.38604104299275,7.65137118615616,202.54915266072814,maize
67,37,146,20.039788831892906,77.18422646062217,7.3977973942832875,257.7825549383698,banana
127,37,180,11.465966409639421,43.09442227534902,5.091214206090353,88.3171001461434,watermelon
37,113,55,41.00572254155319,66.80247633975367,8.268867821249891,160.73838606945378,coconut
27,115,196,39.97419990766041,30.716674141739976,6.495160279308514,180.16117577857128,mothbeans
48,21,176,42.79696762105783,95.85357193023286,8.989186341322691,123.64443607152442,papaya
36,28,97,23.842813487740628,96.99893371393026,9.281719862535518,258.84264753086086,cotton
66,132,22,28.601646710958956,94.25392967447029,7.676178780049838,179.6171276250222,muskmelon
23,118,36,32.83231012248987,42.27821031665475,5.024981894418433,102.68136475730284,pomegranate
16,108,165,13.054989263355067,73.80198972191067,6.816919861447446,103.02284022138357,chickpea
25,103,54,40.08167578746384,92.19164973008242,6.568054393165626,160.4245625124159,papaya
19,69,12,33.97277445853503,81.6213402492491,8.840032050905398,114.63864391843002,mothbeans
91,102,70,24.22354255166922,70.48235217656794,5.468916004848392,63.411652683768374,rice
124,62,62,9.128509247744828,13.361336987429297,8.435603363957949,120.85337959515361,cotton
100,12,57,18.04708788533045,96.87266473516928,6.243590969682371,255.76646100335478,apple
115,98,51,33.88195179838617,22.451778317602123,4.296472533457819,291.4703227919645,rice
105,124,67,24.040267290487456,76.96383786992038,5.005163164079967,71.61342881278361,banana
61,27,131,33.75104562546683,46.80576499728429,4.539765920425075,63.80237194790409,banana
33,100,130,11.473311733007794,26.45793973965766,9.107683984038259,198.7157662761381,papaya
68,26,97,23.525202309828227,32.29578905510417,5.635836071907569,232.19691093002336,mothbeans
28,73,51,9.506965685801894,86.99145256099065,7.721947156280142,152.76867214445105,coffee
84,43,104,14.408469186670562,49.04664843141757,5.89102840638424,192.43802745462062,mothbeans
68,104,38,17.653064063643416,11.377408626134628,9.100617848476897,160.29116749627258,maize
68,8,20,10.611043653815905,67.8177350385684,3.6590678632497307,184.01716275656972,pomegranate
83,144,182,29.214580541861533,21.565031791051915,8.367225060416018,249.7790532083075,cotton
11,71,69,43.56405086148482,91.48155777604573,4.674746808735779,39.42116424504633,kidneybeans
94,50,134,9.441635895478644,65.64284959041035,5.519325289332359,203.6023379066078,coconut
92,94,166,17.645697544728414,54.64337088640656,7.657342152151636,117.53424924689526,blackgram
74,124,168,23.464003173476414,97.08224963682227,6.7878312994885235,138.57186384627317,lentil
98,40,100,20.60973098936166,93.76815930432082,8.65047651105807,140.11832766500515,rice
12,27,103,11.815583146929507,91.229761601161,6.531514234687143,251.40809051016765,banana
85,23,181,9.97895597965265,96.26873471948785,8.582858864573538,119.37345332956177,chickpea
27,132,56,29.217201860561588,66.86534909528194,6.190673131869919,102.09901607545807,pomegranate
24,127,57,37.28842461785639,81.06563285150985,4.047236618292143,158.43768531672282,cotton
121,137,167,40.84505476205709,41.58235112968708,4.202402098565635,60.03767097479404,mungbean
73,11,178,33.93585786398744,16.548670572777418,8.431160355742136,217.74782360381894,blackgram
4,33,169,16.62943867970753,62.317487550410405,8.678831131934023,266.5007912187567,mango
70,49,136,20.9580751279116,73.73630760248798,6.390001927784692,125.83652523423125,papaya
90,94,23,12.1143068453276,54.336259386177325,3.568121868604514,151.22497975835535,papaya
57,65,131,32.02078117829436,77.1440391338881,7.000212590582958,289.40831357287175,mango
112,60,165,16.27304602521975,96.69002854965501,3.572926848138898,291.56607147813895,banana
60,51,153,9.605828982032392,93.21789972012364,9.014694291671956,90.83724703698752,pigeonpeas
19,51,53,33.74270149243084,50.90869582909959,7.265348480504381,183.60800733846807,grapes
11,78,20,40.939760003963904,51.009107750714165,7.220795586809221,97.66673123471715,chickpea
91,94,140,21.074032436963954,62.529050066578485,3.9664078217899092,292.8305461465266,mango
45,39,138,43.14259679180119,75.3147557549524,7.180491175614739,137.10805016137328,pomegranate
55,34,113,14.098867662069036,47.01296049268321,8.165613702411353,154.5036229225793,coffee
10,89,30,22.092961695347796,97.29229580331429,8.552713538814253,254.7320373191186,kidneybeans
97,109,103,12.952528395623428,11.230476834429755,3.952154362114774,213.68003120729537,blackgram
94,137,106,41.78713283353279,62.663457909292475,7.856725064431089,231.98273657188764,jute
82,89,82,15.586677154741421,32.62981955606186,5.148390782155452,78.0237417222558,apple
112,36,38,21.252020567215098,20.220183297966614,7.529439173556797,165.68615625306214,coconut
117,7,127,19.387757871528827,83.47471616917561,9.307842592638938,44.75430254238104,apple
56,116,51,23.559823810607778,80.62014375498786,7.336168141845454,245.41250690542134,muskmelon
102,42,54,29.826954413621426,45.30196405897591,6.124849532142374,273.16443445824956,kidneybeans
51,83,34,31.01720790843132,87.61273378720706,9.197123741945852,61.180574660130624,mungbean
73,21,88,24.988022980815668,98.20293177569293,6.455708563957217,112.0504508805023,papaya
42,119,115,12.768549710694021,21.524125506199518,4.411416161073766,58.871608341834836,lentil
7,136,108,33.77055425040192,47.04950929217753,8.745905629126502,164.26609536197904,banana
60,126,55,9.512138801859718,25.204155676494807,5.171542034191752,69.56293559748912,orange
69,5,137,25.048814417210853,28.570034656521326,5.685619166288452,160.95683583935994,jute
44,77,30,37.57818475963458,66.51103505418169,3.9905541916932314,264.60201474989765,lentil
62,52,65,8.096015902194923,88.14709963320281,4.007102046084092,187.23786303152056,mothbeans
46,131,60,25.927350452067788,65.64292943772664,5.713481837418635,149.5097205172814,pigeonpeas
108,18,191,17.340166940728768,74.20146272960972,8.871241026123196,163.2696837923865,mungbean
17,42,119,16.971408634484998,34.231890785444286,5.763704978627736,25.619935377763383,rice
16,90,130,12.431198877312294,90.14745526659054,7.061554721324292,210.14864936045709,orange
66,113,150,11.216050659234677,58.3395887636693,7.021046708125275,228.7230527716124,chickpea
112,87,46,18.499708514552808,42.67740667587716,7.375503447989607,179.81792530729533,banana
58,113,202,30.413668316204824,31.350411256239504,4.1106948357224224,62.800558971612965,cotton
111,8,98,14.902979889898313,35.65856518244624,4.540241571768529,271.09431889539906,maize
130,35,44,33.787574107557596,99.75299812915549,8.879661577844125,181.2795569855848,jute
74,8,83,38.23166662512335,33.211254434044584,4.525325524340395,207.22010157884068,pomegranate
78,140,30,18.359226465430517,79.25436398727432,4.62226249134514,110.63018619318822,rice
18,24,117,27.604080857701316,73.650708608,8.106677008657034,44.44125028510912,coconut
125,143,104,19.86376110990203,63.449478780210896,5.715382889059377,147.1950322213479,mothbeans
4,142,176,15.464027106218726,71.611439309185,4.027208667455941,58.8709365637657,papaya
72,21,13,30.038633402490238,52.441856969514255,5.971045484883611,117.68311463203868,rice
48,73,66,35.60105744530257,46.76664636423252,9.097628402599728,297.4602534080694,jute
75,39,5,35.421464023732185,61.70258018619207,8.550972660549633,59.136265455361055,watermelon
104,18,64,14.055269886031066,24.783921813789362,8.387448321388293,206.25522179493603,mango
61,136,93,40.456420010085004,45.32005966803718,8.399596636829463,142.95777439966116,muskmelon
13,36,183,31.09175713472799,58.58029557231697,6.132468052330035,181.6961558537152,blackgram
52,108,108,31.09680584881771,20.520823663752765,9.138992741680852,195.758254859997,banana
41,19,115,30.942691969355,58.01149827786894,8.863355498305745,240.8072191428686,coffee
37,101,159,35.52601282518905,13.017919126220145,6.919338109227899,233.48843200739336,pomegranate
122,78,101,11.807893137533366,58.283321633613525,5.772929393341494,147.96006139886993,chickpea
14,140,9,25.99522683383749,46.80596593769439,8.131291883589471,23.416860249052466,coconut
114,40,30,17.31656517955725,41.112639415352746,4.589586300808554,274.3661571734159,rice
37,138,204,23.673083909557867,35.91366548281535,7.189701578915926,275.3186744760301,apple
